,기사제목,기사링크,기사요약,분류
29,KT 상대로 통화 시 기지국 위치 공개 요구…대법 “공개 의무 없어”,https://n.news.naver.com/mnews/article/018/0005540763?sid=102,이동통신서비스 이용자가 이동통신사를 상대로 발신기지국 위치 공개를 구할 수 없다는 대법원 첫 판결이 나왔다. 대법원(사진=이데일리 방인권 기자) 대법원  …,사회
30,전국 무더위·열대야 계속…곳곳 소나기,https://n.news.naver.com/mnews/article/001/0014100643?sid=103,일요일인 30일도 전국 대부분 지역에서 최고체감온도가 35도 내외로 오르면서 무덥겠다. 도심지와 해안지역을 중심으로 열대야가 나타나는 곳이 많겠으니 건강 …,생활/문화
31, 찜통더위 곳곳 열대야…서울 · 대구 낮 최고 35도[날씨],https://n.news.naver.com/mnews/article/055/0001077373?sid=103,"휴일인 오늘(30일)도 찜통더위가 이어지겠습니다. 전국의 낮 기온 35도 안팎까지 오르겠습니다. 자세한 날씨 소식, 기상센터 연결해서 알아봅니다. 임은진 …",생활/문화
32,이번 주 폭염·열대야 계속…잦은 소나기[날씨],https://n.news.naver.com/mnews/article/449/0000254498?sid=103,오늘 부산 해운대 해수욕장은 피서객들로 북적였습니다. 35도 안팎까지 오르는 더위를 피해 시원한 바다를 찾은 모습인데요. 전국 대부분 지역에 내려진 폭염 …,생활/문화
33,"이승만서 김대중까지… 역대 대통령 6명 가족, 靑 개방 1주년 특별전 함께 관람",https://n.news.naver.com/mnews/article/005/0001627293?sid=103,우리나라 역대 대통령 가족들이 청와대 개방 1주년 특별전 ‘우리 대통령들의 이야기’를 함께 관람했다. 여섯 대통령의 가족이 한자리에 모인 것은 처음이다. …,생활/문화
34,오늘도 푹푹 찌는 폭염…곳곳 최고 80㎜ 강한 소나기,https://n.news.naver.com/mnews/article/421/0006961990?sid=103,황덕현 월요일인 31일에는 낮 최고기온과 체감온도가 35도 안팎까지 올라가는 무더위가 지속되겠다. 일부 지역에서는 최대 80㎜ 이상의 강한 소나기가 내리 …,생활/문화
35,"롯데월드, 레저업계 최초 해외 진출···'아쿠아리움 하노이' 오픈",https://n.news.naver.com/mnews/article/014/0005049845?sid=103,"롯데월드가 오는 8월 1일 첫 해외 지점인 ‘롯데월드 아쿠아리움 하노이’를 오픈한다. 31일 롯데월드는 ""서울 잠실 롯데월드 아쿠아리움을 운영하며 쌓아온 …",생활/문화
36,"낮에는 폭염, 밤에는 열대야…곳곳 기습 소나기 주의[날씨]",https://n.news.naver.com/mnews/article/057/0001759577?sid=103,더위에 잠 못 이룬 분들 많으시죠? 밤낮으로 더위의 기세가 대단합니다. 현재 강릉은 28.8도로 9일째 열대야 현상이 이어지고 있고요. 대도시와 해안가를 …,생활/문화
37,"변덕스러운 날씨, 폭염·호우 특보가 동시에",https://n.news.naver.com/mnews/article/023/0003778879?sid=103,서울 지하철·열차 운행 한때 중단 8월 10일까지 한증막 더위 계속 30일 서울 등 중부지방 일부에선 폭염 특보와 호우 특보가 동시에 발효됐다. 낮에는  …,생활/문화
38,"SKT, 내일부터 갤럭시Z플립·폴드5 사전예약 시작",https://n.news.naver.com/mnews/article/215/0001116566?sid=105,"SK텔레콤은 8월 1일부터 7일까지 갤럭시Z플립5·폴드5 단말 사전예약을 진행한다고 7월 31일 밝혔다. 사전 개통은 8월 8일, 공식 출시는 11일이다 …",IT/과학
39,메타버스 혁신 기업을 발굴합니다[알림],https://n.news.naver.com/mnews/article/008/0004918908?sid=105,머니투데이가 메타버스 혁신기업을 발굴합니다. 메타버스는 인터넷과 모바일에 이은 제 3의 디지털 공간으로서 다양한 산업분야에서 혁신을 이끌고 있습니다. 최 …,IT/과학
40,"KT 로봇 사업, 제조 아닌 '서비스' 관점에서 접근하는 이유",https://n.news.naver.com/mnews/article/293/0000046435?sid=105,"앞으로 로봇 시장에서 플랫폼이 굉장히 중요할 것으로 봅니다. 우리는 적은 인력으로도 수만대의 로봇을 케어할 수 있는 역할을 하겠습니다"" 최지훈 KT 융합 …",IT/과학
41,갤Z5 작년보다 1.5배 더 판다…노태문의 승부수,https://n.news.naver.com/mnews/article/030/0003121441?sid=105,삼성전자가 갤럭시Z플립5·폴드5를 앞세워 올해 폴더블폰 판매량을 50%이상 확대하는 것을 목표로 내세웠다. 세계 폴더블 시장 전체 성장률에 준하는 판매  …,IT/과학
42,삼성 첫 韓 언팩 개최…폴더블폰 1000만대 이상 판매 목표[뉴스잇(IT)쥬],https://n.news.naver.com/mnews/article/421/0006961143?sid=105,정보통신기술(ICT)은 어떤 산업보다 빠르게 변화합니다. 그 안의 다양한 이해관계가 맞물려 소용돌이 치는 분야이기도 하지요. ICT 기사는 어렵다는 편견 …,IT/과학
43,스레드 광풍 꺾이고 트위터 간판 ‘X’로… SNS 판이 흔들린다,https://n.news.naver.com/mnews/article/005/0001627333?sid=105,SNS 시장이 지각변동을 일으키고 있다. 트위터 대항마로 주목받았던 ‘스레드’는 출시 한 달도 안 돼 시들한 모습을 보인다. 트위터는 ‘파랑새’ 대신 알 …,IT/과학
44,"'디지털 기술' 수출 확대, 네이버가 이끈다",https://n.news.naver.com/mnews/article/277/0005293350?sid=105,"정부가 디지털 기술 수출 저변 확대에 나서며 네이버에 대한 관심이 높아지고 있다. 네이버는 클라우드, 인공지능(AI) 등 다양한 기술 경쟁력을 갖추고 있 …",IT/과학
45,"아프리카TV, 2분기 매출·영업익 성장…플랫폼·광고 매출 ‘쑥’",https://n.news.naver.com/mnews/article/018/0005540842?sid=105,아프리카TV(067160)는 연결기준 올 2분기 영업이익 236억원으로 전년 동기대비 1.9% 증가했다고 31일 밝혔다. 같은 기간 매출액은 867억원으 …,IT/과학
46," ""감히 술을 뿌려?""…카디비, 공연 중 마이크 투척?[인터넷 와글와글]",https://n.news.naver.com/mnews/article/057/0001759588?sid=104,"세계적인 팝스타 카디비가 공연 중 관객에게 술 세례를 맞자, 마이크를 던지는 영상이 논란이 일고 있습니다. 지난 29일 미국 라스베이거스에서 공연을 한  …",세계
47,"""발 밑에서 땅 흔들려""...테일러 스위프트 공연서 규모 2.3 진동 발생",https://n.news.naver.com/mnews/article/052/0001916825?sid=104,미국 팝스타 테일러 스위프트의 콘서트 현장에서 규모 2.3 지진과 맞먹는 진동이 발생했다고 최근 미 뉴욕타임스(NYT)와 CNN 방송 등이 보도했다. 지 …,세계
48,파키스탄 정치행사에서 폭탄 테러...최소 사망 40명·부상 100명,https://n.news.naver.com/mnews/article/052/0001916793?sid=104,파키스탄 북서부에서 열린 정치 행사에 폭탄 테러가 벌어져 백여 명의 사상자가 발생했다고 AP와 로이터 통신 등이 보도했습니다. 현지 경찰은 현지시각 30 …,세계
49,"세계 각국, 쿠데타 발생 니제르에 원조 중단…제재도 '만지작'",https://n.news.naver.com/mnews/article/421/0006961353?sid=104,최근 쿠데타가 발생한 서아프리카 국가 니제르에 대한 원조 중단이 잇따르는 가운데 제재가 부과될 가능성도 높아지고 있다. 30일 AFP통신에 따르면 서아프 …,세계
50,"폴란드 총리 ""바그너 용병들 우리 국경 근처로 이동…침투 우려""",https://n.news.naver.com/mnews/article/055/0001077408?sid=104,벨라루스에 있는 러시아 바그너 그룹 용병들이 폴란드의 전략적 요충지와 인접한 국경 쪽으로 이동했으며 불법 이주민으로 위장해 국경을 넘어 들어올 수 있다고 …,세계
51,"美경찰견 8마리 차 안에서 '떼죽음'...""33도 넘는데 에어컨 고장""",https://n.news.naver.com/mnews/article/014/0005049829?sid=104,"극심한 폭염이 지속되는 7월, 미국에서 에어컨이 고장 난 차량에 실려 훈련 시설로 가던 경찰견들이 무더기로 폐사하는 사고가 발생했다. 30일(현지시간)  …",세계
52,"‘비밀 호수’에 회갈색 선체… 우크라, 자체 개발 해상 드론 첫 공개",https://n.news.naver.com/mnews/article/023/0003778840?sid=104,우크라이나가 러시아를 견제하기 위해 자체 개발한 해상 드론을 서방 언론에 처음으로 공개했다. 이 해상 드론은 우크라이나와 러시아의 군사적 긴장이 높아지고 …,세계
53,"伊 국방장관 ""中일대일로 참여 결정은 형편없는 행동""",https://n.news.naver.com/mnews/article/052/0001916802?sid=104,"이탈리아가 중국의 일대일로 사업 탈퇴를 검토하는 가운데 내각에서도 일대일로에 대한 부정적인 평가가 나왔습니다. 귀도 크로세토 이탈리아 국방장관은 일간지 '코리에레 델라 세라'와 인터뷰에서 ""일대일로에 참여하 …",세계
